
LP;Imię i Nazwisko;1;2;3;4;5;6;Błędy;Uwagi
1;Gr.1;31.63;25.74;25.88;28.29;28.19;;0;
2;;38.83;36.48;34.81;27;28.13;;0;
3;;25.89;27.76;25.65;24.15;22.79;;0;
4;;47.41;36.71;30.93;32.28;33.74;;0;
5;;44.7;42.6;34.69;35.59;32.01;;1;
6;;56.76;45.44;44.7;36.5;29.74;;1;
7;;38.39;31.45;29.61;28.46;28.41;;0;
8;;38.44;29.65;28.87;31.35;28.81;;0;
9;;23.75;24.56;27.91;18.97;17.06;;0;
10;;58.91;42.36;32.71;29.88;33.83;;0;
11;;25.66;23.71;24.22;26.58;19.83;;0;
12;;34.76;23.2;30.56;20.72;24.53;;1;
13;;43.55;36.01;33.42;29.35;32.69;;0;
14;;36.23;39.41;26.01;24.25;26.49;;0;
15;;38.1;36.09;31.92;34.43;31.48;;0;
16;;31.42;30.11;25.73;24.21;29.57;;1;
17;Gr.2;26.69;29.31;29.19;26.25;28.3;;0;
18;;30.17;31.6;24.67;25.85;25.93;;0;
19;;29.75;28.8;28.18;22.7;21.67;;0;
20;;23.49;22.26;28.87;18.53;18;;0;
21;;47.66;37.57;26.15;21.36;21.33;;0;
22;;43.53;30.9;43.84;27.25;30.7;;1;
23;;57.19;36.15;31.99;34.58;33.35;;0;
24;;38.29;28.25;27.46;25.01;25.28;;0;
25;;37.7;34.62;33.59;30.78;32.4;;0;
26;;56.35;33.87;29.48;26.53;19.26;;1;
27;;30.84;24.39;22.92;24.38;25.24;;0;
28;;57.21;38.9;41.21;32.12;28.15;;0;
29;;28.75;29;23;28.29;24.54;;1;
30;;27.39;37.39;30.15;25.12;23.94;;0;
31;;41.38;38.1;37.12;29.29;30.39;;0;
32;Gr.3;30.67;26.81;28.27;28.38;25.42;;1;
33;;25.23;29.29;24.12;30.13;24.87;;0;
34;;31.46;27.85;27.82;26.25;24.32;;0;
35;;38.62;34.75;27.93;29.28;31.94;;0;
36;;52.01;34.29;32.52;35.44;30.56;;1;
37;;35.31;31.59;29.58;27.3;30.94;;;
38;;53.48;45.13;38.05;36.58;37.47;;0;
39;;40.29;43.52;34.62;37.5;31.15;;0;
40;;39.41;41.28;28.82;27.58;25.32;;2;
41;Gr.4;47.1;34.87;42.76;39.46;38.38;;0;
42;;44.52;31.63;25.37;26.48;29.55;;0;
43;;37.59;37.39;34.17;32.41;31.85;;0;
44;;55.04;59.33;35.92;45.25;35.4;;0;
45;;58.81;42.58;37.88;43.51;33.36;;0;Glovo trzymane w ręce
46;;37.08;33.03;24.44;22.4;25.3;;0;
47;;44.27;41.79;40.28;38.82;39.88;;0;
48;;34.11;30.52;27.86;26.95;37.68;;0;
49;;41.69;35.48;32.74;27.83;29.74;;0;
50;;33.28;33.19;23.91;23.4;24.5;;0;
51;;29.2;47.65;27.87;24.71;23.66;;0;
52;;40.61;37.11;37.51;33.12;27.87;;0;
53;Zaoczni gr.1;50.85;48.53;27.46;27.69;25.38;;3;
54;;28.29;27.46;31.7;26.59;22.53;;5;
55;;44.79;31.09;30.62;28.5;29.56;;0;
56;;41.5;42.11;31.01;30.09;34.53;;0;
57;;26.2;26.34;24.27;23.4;22.12;;0;
58;;37.82;32.13;29.08;23.43;25.74;;0;
59;;30.5;29.78;29.43;28.5;30.62;;0;
60;;54.2;42.35;32.91;34.64;38.32;;0;
61;;41.55;36.76;31.18;32.26;29.83;;0;
62;;46.78;56.88;38.08;36.06;34.04;;0;
63;Zaoczni gr.2;29.6;32.03;25.49;26.98;29.73;;0;
64;;27.88;41.2;28.6;27.66;29.1;;0;
65;;34.34;34.01;30.51;29.84;43.19;;2;
66;;49.89;30.83;29.79;24.62;25.12;;0;
67;;48.11;35.34;35.11;32.13;28.05;;0;
68;;43.21;33.36;30.05;26.48;29.04;;0;
69;;58.14;46.02;39.66;42.92;36.8;;0;
70;;29.55;27.99;25.79;24.99;25.18;;;9 lat pracy w magazynie
71;;34.21;27.84;26.99;23.59;23.23;;0;
